the_geom,gid,program,site_name,city,state,mapped_acr,Latitude,Longitude
POINT (-107.732596 37.932983),1265,Brownfield,Coronado,Unincorporated Ouray County,CO,10.34,37.932983,-107.732596
POINT (-104.9424 39.795),4807,Non-Federal Superfund,WOODBURY CHEMICAL CO.,COMMERCE CITY,CO,15,39.795,-104.9424
POINT (-107.723569 37.964252),1222,Brownfield,Aguinaldo,Unincorporated Ouray County,CO,10.34,37.964252,-107.723569
POINT (-104.9989 39.8148),4808,Non-Federal Superfund,BRODERICK WOOD PRODUCTS,DENVER,CO,64,39.8148,-104.9989
POINT (-107.729167 37.94361),1338,Brownfield,King Edward,Unincorporated Ouray County,CO,10.32,37.94361,-107.729167
POINT (-105.546 38.269),110,Abandoned Mine Land,GEM PARK COMPLEX,HILLSIDE,CO,0,38.269,-105.546
POINT (-107.729083 37.957435),1279,Brownfield,Domingo,Unincorporated Ouray County,CO,10.34,37.957435,-107.729083
POINT (-107.776754 37.978466),1256,Brownfield,Clipper No. 2,Unincorporated Ouray County,CO,10.34,37.978466,-107.776754
POINT (-104.878 38.726),142,Abandoned Mine Land,GILLETTE GOLD EXTRACTION CO,VICTOR,CO,0,38.726,-104.878
POINT (-107.72582 37.940531),1337,Brownfield,King Edward,Unincorporated Ouray County,CO,4.6,37.940531,-107.72582
POINT (-107.727358 37.969637),1274,Brownfield,Deadwood,Unincorporated Ouray County,CO,10.34,37.969637,-107.727358
POINT (-107.735079 37.941153),1245,Brownfield,Boxer,Unincorporated Ouray County,CO,10.34,37.941153,-107.735079
POINT (-107.716347 37.941585),1419,Brownfield,Tam O'Shanter,Unincorporated Ouray County,CO,10.05,37.941585,-107.716347
POINT (-107.79 37.985649),1238,Brownfield,Bear,Unincorporated Ouray County,CO,20.62,37.985649,-107.79
POINT (-106.58500000000001 37.43),134,Abandoned Mine Land,SUMMITVILLE MINE,RIO GRANDE COUNTY,CO,1230,37.43,-106.585
POINT (-107.682772 37.996544),1297,Brownfield,Forward,Unincorporated Ouray County,CO,8.67,37.996544,-107.682772
POINT (-105.0916 39.500004),6368,RCRA,Us Air Force Plant - Pjks,Littleton,CO,464,39.500004,-105.0916
POINT (-107.721637 37.959597),1247,Brownfield,Bryant,Unincorporated Ouray County,CO,10.34,37.959597,-107.721637
POINT (-107.70069 37.976811),1404,Brownfield,Senator,Unincorporated Ouray County,CO,9.51,37.976811,-107.70069
POINT (-105.026536 39.475293),6366,RCRA,Dyno Nobel Inc,Littleton,CO,299.6,39.475293,-105.026536
POINT (-104.743888 38.724444),6358,RCRA,Dept Of The Army / Fort Carson,Fort Carson,CO,137400,38.724444,-104.743888
POINT (-107.697997 37.982015),1362,Brownfield,Mountain Lion,Unincorporated Ouray County,CO,9.45,37.982015,-107.697997
POINT (-106.135 37.862),126,Abandoned Mine Land,SILVER BELL MINE/MILL,OPHIR,CO,0,37.862,-106.135
POINT (-107.768882 37.989343),1328,Brownfield,Ilda G. Mill Site,Unincorporated Ouray County,CO,4.62,37.989343,-107.768882
POINT (-107.723769 37.957111),1373,Brownfield,Norma M.S.,Unincorporated Ouray County,CO,5,37.957111,-107.723769
POINT (-107.711214 37.941668),1427,Brownfield,Tramp,Unincorporated Ouray County,CO,10.34,37.941668,-107.711214
POINT (-107.72014 38.008904),1310,Brownfield,Gold Thread,Unincorporated Ouray County,CO,10.03,38.008904,-107.72014
POINT (-107.727129 37.964677),1218,Brownfield,Africa,Unincorporated Ouray County,CO,20.68,37.964677,-107.727129
POINT (-107.722922 37.969768),1353,Brownfield,Midnight,Unincorporated Ouray County,CO,9.74,37.969768,-107.722922
POINT (-107.777486 37.978165),1405,Brownfield,Shamrock,Unincorporated Ouray County,CO,10.34,37.978165,-107.777486
POINT (-107.770763 37.993804),1225,Brownfield,American Girl,Unincorporated Ouray County,CO,7.49,37.993804,-107.770763
POINT (-107.77796 37.969915),1422,Brownfield,Thomas J. Regan,Unincorporated Ouray County,CO,20.68,37.969915,-107.77796
POINT (-105.12373 39.72333),6350,RCRA,Fhwa Cflhd Materials Laboratory,Denver,CO,3.1,39.72333,-105.12373
POINT (-106.8107 39.19166),87,Abandoned Mine Land,SMUGGLER MOUNTAIN,ASPEN,CO,116,39.19166,-106.8107
POINT (-107.683565 37.991708),1349,Brownfield,Manganese,Unincorporated Ouray County,CO,9.19,37.991708,-107.683565
POINT (-105.0699 39.797051),6334,RCRA,Arvada Treatment Center Llc,Arvada,CO,0,39.797051,-105.0699
POINT (-107.705251 37.953252),1407,Brownfield,Snap Shot,Unincorporated Ouray County,CO,10.34,37.953252,-107.705251
POINT (-107.732128 37.951428),1268,Brownfield,Cousin Jack,Unincorporated Ouray County,CO,10.34,37.951428,-107.732128
POINT (-107.740231 37.946117),1377,Brownfield,Olympia,Unincorporated Ouray County,CO,10.34,37.946117,-107.740231
POINT (-103.126 38.849),95,Abandoned Mine Land,COLORADO PHILADELPHIA REDUCTION WORKS,COLORADO SPRINGS,CO,0,38.849,-103.126
POINT (-107.721007 37.957682),1409,Brownfield,Spencer,Unincorporated Ouray County,CO,9.65,37.957682,-107.721007
POINT (-107.74011 37.972273),1257,Brownfield,Clorinda,Unincorporated Ouray County,CO,9.8,37.972273,-107.74011
POINT (-106.686 38.223),118,Abandoned Mine Land,HENSON CREEK MINES,LAKE CITY,CO,0,38.223,-106.686
POINT (-107.717758 37.942708),1395,Brownfield,Rebecca,Unincorporated Ouray County,CO,10.34,37.942708,-107.717758
POINT (-107.733477 37.941716),1335,Brownfield,Juneau No. 2,Unincorporated Ouray County,CO,10.15,37.941716,-107.733477
POINT (-105.2 39.95),4805,Non-Federal Superfund,MARSHALL LANDFILL,BOULDER,CO,152,39.95,-105.2
POINT (-107.723642 37.950412),1264,Brownfield,Constance,Unincorporated Ouray County,CO,10.27,37.950412,-107.723642
POINT (-107.722076 37.964592),1385,Brownfield,Otis,Unincorporated Ouray County,CO,9.93,37.964592,-107.722076
POINT (-107.788108 37.981987),1254,Brownfield,Cherubusco,Unincorporated Ouray County,CO,9.95,37.981987,-107.788108
POINT (-107.77 37.99),1281,Brownfield,Dread Not No. 2,Unincorporated Ouray County,CO,6.89,37.99,-107.77
POINT (-107.779872 37.973522),1363,Brownfield,Mountain Queen,Unincorporated Ouray County,CO,9.11,37.973522,-107.779872
POINT (-107.8802 37.278553),1198,Brownfield,Durango Power Plant,Durango,CO,6.1,37.278553,-107.8802
POINT (-107.741097 37.959345),1370,Brownfield,Nootka,Unincorporated Ouray County,CO,10.34,37.959345,-107.741097
POINT (-107.719689 37.967706),1440,Brownfield,Wyoming,Unincorporated Ouray County,CO,10.13,37.967706,-107.719689
POINT (-104.938376 39.691129),6349,RCRA,Colo Dept Of Trans - Hq Complex,Denver,CO,14,39.691129,-104.938376
POINT (-104.991928 39.670758),6353,RCRA,Power Engineering Company,Denver,CO,4.4,39.670758,-104.991928
POINT (-104.465 38.404),97,Abandoned Mine Land,EAST WILLOW CREEK AND WILLOW CREEK,CREEDE,CO,0,38.404,-104.465
POINT (-107.78 37.980000000000004),1246,Brownfield,Brooklyn,Unincorporated Ouray County,CO,10.34,37.98,-107.78
POINT (-104.083 39.550000000000004),140,Abandoned Mine Land,ROYAL TIGER MINE AND MILL,UNINCORPORATED,CO,0,39.55,-104.083
POINT (-107.746154 37.944808),1273,Brownfield,Damon,Unincorporated Ouray County,CO,10.34,37.944808,-107.746154
POINT (-106.042 37.875),115,Abandoned Mine Land,HALL VALLEY MINES,JEFFERSON,CO,0,37.875,-106.042
POINT (-105.080296 40.568752),6360,RCRA,Colorado State University (Storage),Fort Collins,CO,0,40.568752,-105.080296
POINT (-107.72246 37.955667),1223,Brownfield,Alden,Unincorporated Ouray County,CO,9.83,37.955667,-107.72246
POINT (-104.903273 39.827876),6343,RCRA,Rocky Mountain Arsenal - Army,Commerce City,CO,17000,39.827876,-104.903273
POINT (-105.13088 39.98364),1208,Brownfield,"Residence, 1055 Griffith Street",Louisville,CO,0,39.98364,-105.13088
POINT (-107.733149 37.942599),1432,Brownfield,Una,Unincorporated Ouray County,CO,10.3,37.942599,-107.733149
POINT (-107.72861 37.971877),1306,Brownfield,Glen Monarch M.S.,Unincorporated Ouray County,CO,2.99,37.971877,-107.72861
POINT (-104.806189 39.6876924),1193,Brownfield,Kingsborough Park (Idalia Court Landfill),Aurora,CO,0.5,39.6876924,-104.806189
POINT (-107.766001 37.990789),1320,Brownfield,Herbert,Unincorporated Ouray County,CO,9.33,37.990789,-107.766001
POINT (-107.725335 37.935886),1307,Brownfield,Gold Coin,Unincorporated Ouray County,CO,10.32,37.935886,-107.725335
POINT (-107.762818 37.981193),1344,Brownfield,Little Annie,Unincorporated Ouray County,CO,3.96,37.981193,-107.762818
POINT (-104.91945 39.76249),1197,Brownfield,Couch,Denver,CO,0.25,39.76249,-104.91945
POINT (-107.718332 37.961447),1355,Brownfield,Modoc,Unincorporated Ouray County,CO,10.22,37.961447,-107.718332
POINT (-107.724846 37.972768),1435,Brownfield,Virginius M.S.,Unincorporated Ouray County,CO,4.76,37.972768,-107.724846
POINT (-107.774518 37.975388),1376,Brownfield,Old Trail,Unincorporated Ouray County,CO,9.05,37.975388,-107.774518
POINT (-107.723237 37.967521),1379,Brownfield,Only One,Unincorporated Ouray County,CO,20.68,37.967521,-107.723237
POINT (-105.12796 39.9859),1206,Brownfield,Old Style Sausage and Louisville Store and Lock,Louisville,CO,0,39.9859,-105.12796
POINT (-107.741355 37.94772),1424,Brownfield,Tipperary,Unincorporated Ouray County,CO,10.34,37.94772,-107.741355
POINT (-107.725964 37.939151),1346,Brownfield,Luzon,Unincorporated Ouray County,CO,10.61,37.939151,-107.725964
POINT (-107.734152 37.952931),1329,Brownfield,Imogene,Unincorporated Ouray County,CO,10.3,37.952931,-107.734152
POINT (-108.35285 39.11019),1213,Brownfield,Palisades Gas Station,Palisades,CO,0.23,39.11019,-108.35285
POINT (-107.726587 37.941285),1278,Brownfield,Dodo,Unincorporated Ouray County,CO,10,37.941285,-107.726587
POINT (-107.717821 37.958741),1286,Brownfield,Ensign,Unincorporated Ouray County,CO,10.18,37.958741,-107.717821
POINT (-107.724943 37.937241),1293,Brownfield,Fillipino,Unincorporated Ouray County,CO,10.38,37.937241,-107.724943
POINT (-104.961 39.784),103,Abandoned Mine Land,OMAHA AND GRANT SMELTER,DENVER,CO,0,39.784,-104.961
POINT (-107.686147 37.987374),1413,Brownfield,Sunday,Unincorporated Ouray County,CO,5.26,37.987374,-107.686147
POINT (-107.725073 37.971139),1304,Brownfield,Gertrude M.S.,Unincorporated Ouray County,CO,5,37.971139,-107.725073
POINT (-107.769291 37.987652),1347,Brownfield,Madison,Unincorporated Ouray County,CO,3.27,37.987652,-107.769291
POINT (-106.15007 37.58219),1210,Brownfield,Monte Vista Boys and Girls Club Property,Monte Vista,CO,1,37.58219,-106.15007
POINT (-107.689319 37.996876),1444,Brownfield,Yellow Brytis,Unincorporated Ouray County,CO,9.39,37.996876,-107.689319
POINT (-108.730361 37.201167),1216,Brownfield,Towaoc Dining Hall,Towaoc,CO,0.23,37.201167,-108.730361
POINT (-107.704728 37.97655),1302,Brownfield,Georgia Belle Extension,Unincorporated Ouray County,CO,9.64,37.97655,-107.704728
POINT (-105.917 39.5),91,Abandoned Mine Land,JESSIE MINE AND MILL,BRECKENRIDGE,CO,0,39.5,-105.917
POINT (-107.07389 38.87916),109,Abandoned Mine Land,STANDARD MINE,GUNNISON NATIONAL FORREST,CO,63,38.87916,-107.07389
POINT (-105.12854 39.98094),1201,Brownfield,"Aggregate Industries, Louisville Plant",Louisville,CO,0,39.98094,-105.12854
POINT (-107.725434 37.95011),1314,Brownfield,Hagar,Unincorporated Ouray County,CO,10.27,37.95011,-107.725434
POINT (-107.746358 37.950723),1399,Brownfield,Rock Lake,Unincorporated Ouray County,CO,10.34,37.950723,-107.746358
POINT (-107.724082 37.943612),1294,Brownfield,First National,Unincorporated Ouray County,CO,10.34,37.943612,-107.724082
POINT (-107.688135 37.995026),1382,Brownfield,Ores and Metals No. 1,Unincorporated Ouray County,CO,9.06,37.995026,-107.688135
POINT (-107.745557 37.953888),1402,Brownfield,Scorcher,Unincorporated Ouray County,CO,10.34,37.953888,-107.745557
POINT (-105.2017 39.89416),4586,Federal Superfund,ROCKY FLATS PLANT (USDOE),GOLDEN,CO,6241,39.89416,-105.2017
POINT (-104.6013 38.2683),6373,RCRA,Rockwool Plant - Pueblo,Pueblo,CO,39,38.2683,-104.6013
POINT (-107.733965 37.958864),1280,Brownfield,Domingo No. 2,Unincorporated Ouray County,CO,10.34,37.958864,-107.733965
POINT (-105.282079 40.098566),6338,RCRA,Raytheon Aircraft Company,Boulder,CO,1493,40.098566,-105.282079
POINT (-104.739006 38.780687),6341,RCRA,Eagle Picher Technologies Llc,Colorado Springs,CO,13.31,38.780687,-104.739006
POINT (-107.729698 37.948799),1433,Brownfield,Una M.S.,Unincorporated Ouray County,CO,5,37.948799,-107.729698
POINT (-107.737772 37.943634),1266,Brownfield,Cosmos,Unincorporated Ouray County,CO,2.75,37.943634,-107.737772
POINT (-104.71000000000001 40.028),88,Abandoned Mine Land,HENDRICKS MINING & MILLING,BOULDER,CO,0,40.028,-104.71
POINT (-107.782834 37.971956),1439,Brownfield,Winnipeg,Unincorporated Ouray County,CO,8.39,37.971956,-107.782834
POINT (-107.716407 37.949537),1221,Brownfield,Agnes No. 2,Unincorporated Ouray County,CO,10.33,37.949537,-107.716407
POINT (-107.738031 37.953225),1351,Brownfield,McKinley,Unincorporated Ouray County,CO,10.34,37.953225,-107.738031
POINT (-105.239 38.429),94,Abandoned Mine Land,US SMELTER,CANON CITY,CO,0,38.429,-105.239
POINT (-104.864 38.711),143,Abandoned Mine Land,INDEPENDENCE MINE,VICTOR,CO,0,38.711,-104.864
POINT (-107.717225 37.95735),1288,Brownfield,Equator,Unincorporated Ouray County,CO,10.34,37.95735,-107.717225
POINT (-107.72149 37.941918),1250,Brownfield,Camp Bird,Unincorporated Ouray County,CO,10.34,37.941918,-107.72149
POINT (-104.5601 38.272275),6375,RCRA,Safety-Kleen Systems Inc-Pueblo,Pueblo,CO,0,38.272275,-104.5601
POINT (-107.720746 37.974706),1414,Brownfield,Sunlight Placer,Unincorporated Ouray County,CO,36.2,37.974706,-107.720746
POINT (-107.770948 37.993075),1442,Brownfield,Yankee Boy,Unincorporated Ouray County,CO,7.33,37.993075,-107.770948
POINT (-107.722691 37.953036),1400,Brownfield,Rudge,Unincorporated Ouray County,CO,10.4,37.953036,-107.722691
POINT (-107.714331 37.958033),1287,Brownfield,Entomologist,Unincorporated Ouray County,CO,10.34,37.958033,-107.714331
POINT (-107.73423 37.94764),1438,Brownfield,White Scud,Unincorporated Ouray County,CO,10.34,37.94764,-107.73423
POINT (-107.720955 37.955719),1390,Brownfield,Priscilla,Unincorporated Ouray County,CO,9.31,37.955719,-107.720955
POINT (-105.090446 39.508053),6367,RCRA,Lockheed Martin Waterton Plant,Littleton,CO,5200,39.508053,-105.090446
POINT (-107.729717 37.94293),1443,Brownfield,Yellow Bird,Unincorporated Ouray County,CO,10.31,37.94293,-107.729717
POINT (-107.737012 37.956849),1243,Brownfield,Bodega,Unincorporated Ouray County,CO,10.34,37.956849,-107.737012
POINT (-103.707798 39.739957),6346,RCRA,Clean Harbors Deer Trail Llc,Deer Trail,CO,0,39.739957,-103.707798
POINT (-107.705937 37.987036),1259,Brownfield,Columbine M.S.,Unincorporated Ouray County,CO,4.97,37.987036,-107.705937
POINT (-105.394 40.116),112,Abandoned Mine Land,BUENO MILL & MINE SITE,JAMESTOWN,CO,0,40.116,-105.394
POINT (-104.995145 39.798268),6352,RCRA,Koppers Inc,Denver,CO,65,39.798268,-104.995145
POINT (-107.727647 37.967382),1343,Brownfield,Launaka M.S.,Unincorporated Ouray County,CO,5,37.967382,-107.727647
POINT (-107.729628 37.945716),1357,Brownfield,Moraine,Unincorporated Ouray County,CO,10.34,37.945716,-107.729628
POINT (-104.866137 40.465184),6378,RCRA,Kodak Colorado Division,Windsor,CO,0,40.465184,-104.866137
POINT (-105.12796 39.985),1204,Brownfield,Former Alpine Lumber Property,Louisville,CO,0,39.985,-105.12796
POINT (-106.343 37.921),129,Abandoned Mine Land,CORKSCREW AND GRAY COPPER GULCHES,OURAY,CO,0,37.921,-106.343
POINT (-107.786356 37.977933),1365,Brownfield,Mountain Top,Unincorporated Ouray County,CO,10.35,37.977933,-107.786356
POINT (-103.75603 38.214256),1211,Brownfield,Buckshot Industries,Ordway,CO,9,38.214256,-103.75603
POINT (-107.726679 37.961498),1401,Brownfield,Saracen,Unincorporated Ouray County,CO,10.34,37.961498,-107.726679
POINT (-107.707476 37.980088),1301,Brownfield,Georgia Belle,Unincorporated Ouray County,CO,10.41,37.980088,-107.707476
POINT (-108.038 37.692),133,Abandoned Mine Land,RICO - ARGENTINE,RICO,CO,0,37.692,-108.038
POINT (-107.722279 37.960993),1318,Brownfield,Hellespont,Unincorporated Ouray County,CO,10.34,37.960993,-107.722279
POINT (-106.94 37.871),98,Abandoned Mine Land,NELSON TUNNEL,CREEDE,CO,0,37.871,-106.94
POINT (-107.766551 37.988482),1226,Brownfield,American Girl M.S.,Unincorporated Ouray County,CO,2.4,37.988482,-107.766551
POINT (-105.874 39.597),117,Abandoned Mine Land,PERU CREEK MINING DISTRICT,KEYSTONE,CO,0,39.597,-105.874
POINT (-107.746621 37.951871),1239,Brownfield,Birds Eye,Unincorporated Ouray County,CO,10.34,37.951871,-107.746621
POINT (-107.719388 37.968326),1389,Brownfield,Polar Bear,Unincorporated Ouray County,CO,7.03,37.968326,-107.719388
POINT (-106.2692 39.23611),119,Abandoned Mine Land,CALIFORNIA GULCH,LEADVILLE,CO,11382,39.23611,-106.2692
POINT (-107.683 38.056),127,Abandoned Mine Land,AMERICAN LEAD AND ZINC MILL,OURAY,CO,0,38.056,-107.683
POINT (-107.695242 37.978398),1364,Brownfield,Mountain Sheep,Unincorporated Ouray County,CO,9.62,37.978398,-107.695242
POINT (-104.95833 39.79166),104,Abandoned Mine Land,VASQUEZ BOULEVARD AND I-70,DENVER,CO,2880,39.79166,-104.95833
POINT (-107.775237 37.995595),1244,Brownfield,Boston,Unincorporated Ouray County,CO,10.34,37.995595,-107.775237
POINT (-107.727168 37.97031),1305,Brownfield,Glen Monarch,Unincorporated Ouray County,CO,10.06,37.97031,-107.727168
POINT (-105.011053 39.664191),6357,RCRA,Safety-Kleen Systems Inc-Englewood,Englewood,CO,0,39.664191,-105.011053
POINT (-107.738122 37.942219),1260,Brownfield,Compass,Unincorporated Ouray County,CO,10.34,37.942219,-107.738122
POINT (-107.775872 37.97561),1319,Brownfield,Hendricks,Unincorporated Ouray County,CO,10.34,37.97561,-107.775872
POINT (-107.703068 37.963254),1219,Brownfield,Agnes M.S.,Unincorporated Ouray County,CO,5,37.963254,-107.703068
POINT (-107.724337 37.95945),1315,Brownfield,Halifax,Unincorporated Ouray County,CO,9.87,37.95945,-107.724337
POINT (-107.778085 37.98228),1394,Brownfield,Randolph,Unincorporated Ouray County,CO,10.3,37.98228,-107.778085
POINT (-107.77 37.99),1392,Brownfield,R.A.P.,Unincorporated Ouray County,CO,10.34,37.99,-107.77
POINT (-107.742552 37.944651),1403,Brownfield,Scorifier,Unincorporated Ouray County,CO,7.87,37.944651,-107.742552
POINT (-107.778176 37.973725),1361,Brownfield,Mount Sneffels Belle,Unincorporated Ouray County,CO,10.32,37.973725,-107.778176
POINT (-107.736071 37.971864),1368,Brownfield,New Discovery,Unincorporated Ouray County,CO,8.43,37.971864,-107.736071
